Date,AIWFC,Christmas,MariahCarey,Memes,Days,Days_Sin,Days_Cos,Days_SinCos,Days_Sin2,Days_Cos2,iter1,final_pred
2020-07-26,1,2,14,66,623,-0.9634705485641488,-0.26781430516217425,0.25803119550792636,0.9282754979505019,0.07172450204949819,1.0389815101731832,12.990590044201033
2020-08-02,2,2,17,70,630,-0.9886775902323404,-0.15005539834465284,0.1483564096367453,0.9774833774276275,0.02251662257237244,1.3403329224068825,12.207304196839988
2020-08-09,2,2,14,69,637,-0.9995462806873573,-0.030120304846908606,0.03010663868289688,0.9990927672359292,0.0009072327640707061,1.1518308561372221,11.679954624450035
2020-08-16,2,2,19,68,644,-0.9959189961471792,0.09025161003104046,-0.0898832928627805,0.991854646886805,0.008145353113195003,1.5883428058741929,11.478182614777607
2020-08-23,2,2,14,71,651,-0.977848341505657,0.20931464596304777,-0.20467797940781005,0.9561873789853641,0.04381262101463603,1.1509968036275404,11.6552991090439
2020-08-30,2,3,20,68,658,-0.9455963874271429,0.32534208471197923,-0.30764229998166304,0.8941525279152633,0.10584747208473667,1.5631566098183987,12.244657128849004
2020-09-06,3,3,16,69,665,-0.8996308696522431,0.4366512319560644,-0.3928249275393576,0.8093357016312513,0.19066429836874876,1.1536727072610424,13.257145313610538
2020-09-13,3,3,15,69,672,-0.840618405634478,0.5416278206559817,-0.45530231504710833,0.7066393038914518,0.29336069610854826,0.9757009483433532,14.679950303880709
2020-09-20,3,4,21,69,679,-0.7694148268839377,0.6387494220515273,-0.4914632759899911,0.5919991758288398,0.4080008241711601,1.215853467775032,16.476664037219923
2020-09-27,4,5,34,68,686,-0.687052767223667,0.7266075247685656,-0.4992177105777822,0.4720415049496984,0.5279584950503017,1.7433519706878344,18.58873615533697
2020-10-04,3,5,24,66,693,-0.5947266869607649,0.8039279618328201,-0.47811741329595336,0.3536998321833277,0.6463001678166723,1.0916821286748981,20.938195887838337
2020-10-11,3,6,20,61,700,-0.49377555015997915,0.8695893893466099,-0.4293819791379026,0.24381429393579007,0.7561857060642099,0.8123917653561541,23.43149620390776
2020-10-18,4,9,17,62,707,-0.3856634062436077,0.9226395488404874,-0.3558283111408878,0.14873626291542197,0.8512637370845781,0.6228198745458977,25.96426969222441
2020-10-25,9,11,19,60,714,-0.2719581575341063,0.9623090774541484,-0.2617078036827758,0.07396123944934578,0.9260387605506541,0.6354959821691246,28.42673406543772
2020-11-01,16,14,21,68,721,-0.15430882066428214,0.9880226656636975,-0.15246061232814548,0.02381121213480159,0.9761887878651985,0.6499380209092406,30.709448259482443
